date,interest,value,Positive,Neutral,Negative
2019-07-09,0.19,0.19737000000000002,0.5,0.5,0.0
2019-07-10,0.2,0.18910666666666665,1.0,0.0,0.0
2019-07-11,0.21,0.17860666666666664,1.0,0.0,0.0
2019-07-12,0.22,0.17517,0.3333333333333333,0.6666666666666666,0.0
2019-07-13,0.23,0.1679,1.0,0.0,0.0
2019-07-14,0.24,0.1554866666666667,,,
2019-07-15,0.21428571428571427,0.14804666666666666,1.0,0.0,0.0
2019-07-16,0.18857142857142858,0.14053333333333334,0.6,0.4,0.0
2019-07-17,0.16285714285714284,0.13448666666666667,0.5,0.5,0.0
2019-07-18,0.13714285714285712,0.14311,0.0,0.6666666666666666,0.3333333333333333
2019-07-19,0.11142857142857142,0.14384333333333332,1.0,0.0,0.0
2019-07-20,0.08571428571428569,0.14324,0.0,0.0,1.0
2019-07-21,0.06,0.14259666666666665,,,
2019-07-22,0.06,0.13745000000000002,0.5,0.5,0.0
2019-07-23,0.06,0.13215333333333334,0.6,0.4,0.0
2019-07-24,0.06,0.12967666666666666,0.0,1.0,0.0
2019-07-25,0.06,0.13355333333333333,0.5,0.5,0.0
2019-07-26,0.06,0.13658000000000003,0.8,0.2,0.0
2019-07-27,0.06,0.13055333333333333,0.5,0.5,0.0
2019-07-28,0.06,0.11853666666666667,,,
2019-07-29,0.06,0.11932333333333334,1.0,0.0,0.0
2019-07-30,0.06,0.12582666666666667,0.75,0.25,0.0
2019-07-31,0.06,0.12572666666666668,0.6666666666666666,0.3333333333333333,0.0
2019-08-01,0.06,0.12800999999999998,,,
2019-08-02,0.06,0.13252333333333333,,,
2019-08-03,0.06,0.1349,,,
2019-08-04,0.06,0.12992,0.0,0.0,1.0
2019-08-05,0.06,0.13536,1.0,0.0,0.0
2019-08-06,0.06,0.14252,1.0,0.0,0.0
2019-08-07,0.06,0.13804,,,
2019-08-08,0.06,0.13455333333333333,0.6666666666666666,0.3333333333333333,0.0
2019-08-09,0.06,0.1331466666666667,,,
2019-08-10,0.06,0.13248666666666667,,,
2019-08-11,0.06,0.13063333333333332,0.0,0.0,1.0
2019-08-12,0.06,0.12925,1.0,0.0,0.0
2019-08-13,0.06,0.12060666666666667,1.0,0.0,0.0
2019-08-14,0.06,0.11488,0.5,0.5,0.0
2019-08-15,0.06,0.11982666666666668,0.0,0.0,1.0
2019-08-16,0.06,0.11937333333333333,0.6666666666666666,0.3333333333333333,0.0
2019-08-17,0.06,0.11421999999999999,,,
2019-08-18,0.06,0.11226666666666667,0.5,0.25,0.25
2019-08-19,0.058571428571428566,0.11728666666666668,0.7142857142857143,0.14285714285714285,0.14285714285714285
2019-08-20,0.05714285714285714,0.12095,1.0,0.0,0.0
2019-08-21,0.05571428571428571,0.11513333333333332,,,
2019-08-22,0.05428571428571429,0.11272666666666667,,,
2019-08-23,0.05285714285714285,0.11046,0.5,0.5,0.0
2019-08-24,0.051428571428571435,0.10709666666666666,,,
2019-08-25,0.05,0.10704333333333334,0.0,1.0,0.0
2019-08-26,0.05,0.10737333333333333,0.6666666666666666,0.3333333333333333,0.0
2019-08-27,0.05,0.11117666666666666,0.0,0.0,1.0
2019-08-28,0.05,0.11217999999999999,,,
2019-08-29,0.05,0.10849333333333334,1.0,0.0,0.0
2019-08-30,0.05,0.10644333333333333,,,
2019-08-31,0.05,0.10877666666666667,,,
2019-09-01,0.05,0.10646333333333333,1.0,0.0,0.0
2019-09-02,0.05,0.10655333333333332,0.0,1.0,0.0
2019-09-03,0.05,0.10920666666666667,0.6666666666666666,0.0,0.3333333333333333
2019-09-04,0.05,0.11085666666666666,0.0,0.0,1.0
2019-09-05,0.05,0.11246999999999999,1.0,0.0,0.0
2019-09-06,0.05,0.11012666666666666,0.6666666666666666,0.3333333333333333,0.0
2019-09-07,0.05,0.11016333333333334,,,
2019-09-08,0.05,0.10921333333333333,,,
2019-09-09,0.051428571428571435,0.1095,0.0,0.0,1.0
2019-09-10,0.05285714285714285,0.10308666666666666,0.6666666666666666,0.0,0.3333333333333333
2019-09-11,0.05428571428571429,0.10074333333333334,0.6666666666666666,0.3333333333333333,0.0
2019-09-12,0.05571428571428571,0.10996333333333333,0.6666666666666666,0.3333333333333333,0.0
2019-09-13,0.05714285714285714,0.11127999999999999,,,
2019-09-14,0.058571428571428566,0.11261000000000002,0.0,1.0,0.0
2019-09-15,0.06,0.11568666666666667,1.0,0.0,0.0
2019-09-16,0.058571428571428566,0.11963666666666666,1.0,0.0,0.0
2019-09-17,0.05714285714285714,0.12658,1.0,0.0,0.0
2019-09-18,0.05571428571428571,0.12708,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-09-19,0.05428571428571429,0.1310666666666667,0.75,0.25,0.0
2019-09-20,0.05285714285714285,0.13346666666666665,1.0,0.0,0.0
2019-09-21,0.051428571428571435,0.12695666666666666,,,
2019-09-22,0.05,0.12637666666666666,,,
2019-09-23,0.05,0.1262,0.0,1.0,0.0
2019-09-24,0.05,0.11675,0.75,0.25,0.0
2019-09-25,0.05,0.10966666666666666,1.0,0.0,0.0
2019-09-26,0.05,0.10458999999999999,0.0,0.0,1.0
2019-09-27,0.05,0.10099000000000001,,,
2019-09-28,0.05,0.10179,,,
2019-09-29,0.05,0.10219666666666667,1.0,0.0,0.0
2019-09-30,0.05,0.10248,1.0,0.0,0.0
2019-10-01,0.05,0.10358999999999999,1.0,0.0,0.0
2019-10-02,0.05,0.10546333333333333,1.0,0.0,0.0
2019-10-03,0.05,0.10662666666666666,1.0,0.0,0.0
2019-10-04,0.05,0.10046666666666666,,,
2019-10-05,0.05,0.09880666666666665,,,
2019-10-06,0.05,0.10354999999999999,1.0,0.0,0.0
